,precision,recall,f1-score,support
0,0.9583333333333334,0.9904306220095693,0.9741176470588235,209.0
1,0.9785407725321889,0.957983193277311,0.9681528662420382,238.0
2,0.9753086419753086,0.9875,0.9813664596273292,240.0
3,0.9710144927536232,0.9757281553398058,0.9733656174334141,206.0
4,0.96875,0.9730941704035875,0.970917225950783,223.0
5,0.9680365296803652,0.9680365296803652,0.9680365296803652,219.0
6,0.9846153846153847,0.9696969696969697,0.9770992366412213,264.0
7,0.9951219512195122,0.9855072463768116,0.9902912621359223,207.0
8,0.975103734439834,0.9670781893004116,0.9710743801652892,243.0
9,0.9954128440366973,0.9863636363636363,0.9908675799086758,220.0
A,0.9606986899563319,0.9691629955947136,0.9649122807017544,227.0
B,0.955,0.9502487562189055,0.9526184538653366,201.0
C,0.9765258215962441,0.9765258215962441,0.9765258215962441,213.0
D,0.9833333333333333,0.9752066115702479,0.979253112033195,242.0
E,0.9726027397260274,0.9953271028037384,0.9838337182448037,214.0
F,0.9372384937238494,0.9781659388646288,0.9572649572649573,229.0
G,0.9738219895287958,0.9637305699481865,0.96875,193.0
H,0.9715447154471545,0.956,0.9637096774193549,250.0
I,0.9611650485436893,0.9611650485436893,0.9611650485436893,206.0
J,0.9634703196347032,0.9723502304147466,0.9678899082568807,217.0
K,0.9605263157894737,0.9820627802690582,0.9711751662971175,223.0
L,1.0,0.9702970297029703,0.9849246231155779,101.0
M,0.9621621621621622,0.967391304347826,0.964769647696477,184.0
N,0.9851485148514851,0.9521531100478469,0.9683698296836983,209.0
O,0.3333333333333333,0.14285714285714285,0.2,7.0
P,0.9855072463768116,0.9855072463768116,0.9855072463768116,207.0
Q,0.9702970297029703,0.9560975609756097,0.9631449631449631,205.0
R,0.9907407407407407,0.9596412556053812,0.9749430523917996,223.0
S,0.9178082191780822,0.9852941176470589,0.950354609929078,204.0
T,0.9712918660287081,0.9712918660287081,0.9712918660287081,209.0
U,0.9866071428571429,0.9778761061946902,0.9822222222222222,226.0
V,0.9707317073170731,0.9802955665024631,0.9754901960784313,203.0
W,1.0,0.9836065573770492,0.9917355371900827,183.0
X,0.9710144927536232,0.9852941176470589,0.9781021897810219,204.0
Y,0.9783783783783784,0.9731182795698925,0.9757412398921833,186.0
Z,0.9807692307692307,0.966824644549763,0.9737470167064439,211.0
accuracy,0.9721998388396454,0.9721998388396454,0.9721998388396454,0.9721998388396454
macro avg,0.9552765337865444,0.9499697353806362,0.9514647552584636,7446.0
weighted avg,0.9721250466300398,0.9721998388396454,0.97202627205923,7446.0
